req.url,count(*)
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-10852/calls?start_time=2018-01-01T00:00:00.000Z&end_time=2021-09-23T23:59:59.999Z&size=50&is_complete=false,12
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-10852/users,24
/v/dev-0.0/tenants/smartpatcher/subtenants?id=praxis-10852,36
/v/dev-0.0/tenants/smartpatcher/subtenants?id=praxis-10578,74
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-12200/users,46
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-10578/users,49
/v/dev-0.0/tenants/smartpatcher/subtenants?id=praxis-10938,137
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-10943/calls?start_time=2018-01-01T00:00:00.000Z&end_time=2021-09-23T23:59:59.999Z&size=50&is_complete=false,12
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-10938/users,91
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-12231/calls?start_time=2018-01-01T00:00:00.000Z&end_time=2021-09-23T23:59:59.999Z&size=50&is_complete=false,12
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-10938/calls?start_time=2018-01-01T00:00:00.000Z&end_time=2021-09-23T23:59:59.999Z&size=50&is_complete=false,45
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-10943/users,24
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-12210/calls?start_time=2018-01-01T00:00:00.000Z&end_time=2021-09-23T23:59:59.999Z&size=50&is_complete=false,24
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-12231/users,24
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-10908/users,80
/v/dev-0.0/tenants/smartpatcher/subtenants?id=praxis-12231,36
/v/dev-0.0/tenants/smartpatcher/subtenants?id=praxis-10943,36
/v/dev-0.0/tenants/smartpatcher/subtenants?id=praxis-12200,77
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-12210/users,70
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-10578/calls?start_time=2018-01-01T00:00:00.000Z&end_time=2021-09-23T23:59:59.999Z&size=100&is_complete=false,24
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-10589/calls?start_time=2018-01-01T00:00:00.000Z&end_time=2021-09-23T23:59:59.999Z&size=50&is_complete=false,36
/v/dev-0.0/tenants/smartpatcher/subtenants?id=praxis-10589,108
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-13004/calls/614c1ecef80848001b30aab1,1
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-10589/users,72
/v/dev-0.0/tenants/smartpatcher/subtenants?id=praxis-10518,110
/v/dev-0.0/tenants/smartpatcher/subtenants?id=praxis-10814,106
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-10518/users,73
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-10814/users,71
"/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-13005/calls?start_time=2018-01-01T00:00:00.000Z&end_time=2021-09-23T23:59:59.999Z&size=50&is_complete=false&user_phone_number_type=landline,mobile&caller_type=present&message_type=present",24
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-12305/calls?start_time=2018-01-01T00:00:00.000Z&end_time=2021-09-23T23:59:59.999Z&size=50&is_complete=false,24
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-10936/calls,1
/v/dev-0.0/tenants/smartpatcher/subtenants?phone_number=10936,2
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-10710/calls?start_time=2018-01-01T00:00:00.000Z&end_time=2021-09-23T23:59:59.999Z&size=50&is_complete=false,12
